ID,Domain,Topic,Natural_Language_Query
1,Social Sciences,Urban Sociology,Identify cross-domain links between Urban Sociology and other GCN nodes.
2,Materials Science,Superconductors,Identify cross-domain links between Superconductors and other GCN nodes.
3,Social Sciences,Economic Trends,Show metadata schemas used in Economic Trends projects.
4,Humanities,Historical Linguistics,How is data provenance handled for Historical Linguistics in the GCN?
5,Social Sciences,Economic Trends,Find interoperable vocabularies related to Economic Trends.
6,Humanities,Digital History,Which institutions host the most reusable Digital History data?
7,Humanities,Comparative Literature,Find interoperable vocabularies related to Comparative Literature.
8,Social Sciences,Public Policy,List all SPARQL endpoints available for Public Policy research.
9,Social Sciences,Economic Trends,What are the persistent identifiers for Economic Trends datasets?
10,Materials Science,Superconductors,Retrieve the license information for Superconductors data assets.
11,Social Sciences,Educational Equality,Retrieve the license information for Educational Equality data assets.
12,Social Sciences,Urban Sociology,List all SPARQL endpoints available for Urban Sociology research.
13,Humanities,Comparative Literature,What are the persistent identifiers for Comparative Literature datasets?
14,Social Sciences,Educational Equality,Which institutions host the most reusable Educational Equality data?
15,Materials Science,Polymers,Retrieve the license information for Polymers data assets.
16,Humanities,Archaeology,Retrieve the license information for Archaeology data assets.
17,Materials Science,Crystallography,What are the persistent identifiers for Crystallography datasets?
18,Humanities,Comparative Literature,Show metadata schemas used in Comparative Literature projects.
19,Social Sciences,Urban Sociology,Show metadata schemas used in Urban Sociology projects.
20,Materials Science,Nanomaterials,Identify cross-domain links between Nanomaterials and other GCN nodes.
21,Humanities,Comparative Literature,Which institutions host the most reusable Comparative Literature data?
22,Humanities,Archaeology,Find interoperable vocabularies related to Archaeology.
23,Materials Science,Polymers,Show metadata schemas used in Polymers projects.
24,Materials Science,Crystallography,List all SPARQL endpoints available for Crystallography research.
25,Materials Science,Metallurgy,Identify cross-domain links between Metallurgy and other GCN nodes.
26,Social Sciences,Educational Equality,How is data provenance handled for Educational Equality in the GCN?
27,Materials Science,Metallurgy,Which institutions host the most reusable Metallurgy data?
28,Social Sciences,Educational Equality,List all SPARQL endpoints available for Educational Equality research.
29,Materials Science,Nanomaterials,Retrieve the license information for Nanomaterials data assets.
30,Materials Science,Superconductors,Which institutions host the most reusable Superconductors data?
31,Materials Science,Polymers,List all SPARQL endpoints available for Polymers research.
32,Humanities,Archaeology,Which institutions host the most reusable Archaeology data?
33,Humanities,Comparative Literature,Identify cross-domain links between Comparative Literature and other GCN nodes.
34,Materials Science,Polymers,Identify cross-domain links between Polymers and other GCN nodes.
35,Materials Science,Polymers,What are the persistent identifiers for Polymers datasets?
36,Social Sciences,Educational Equality,Identify cross-domain links between Educational Equality and other GCN nodes.
37,Humanities,Digital History,How is data provenance handled for Digital History in the GCN?
38,Social Sciences,Urban Sociology,Find interoperable vocabularies related to Urban Sociology.
39,Humanities,Archaeology,List all SPARQL endpoints available for Archaeology research.
40,Materials Science,Nanomaterials,List all SPARQL endpoints available for Nanomaterials research.
41,Humanities,Renaissance Art,How is data provenance handled for Renaissance Art in the GCN?
42,Social Sciences,Demographics,What are the persistent identifiers for Demographics datasets?
43,Social Sciences,Public Policy,Find interoperable vocabularies related to Public Policy.
44,Materials Science,Superconductors,How is data provenance handled for Superconductors in the GCN?
45,Humanities,Comparative Literature,List all SPARQL endpoints available for Comparative Literature research.
46,Social Sciences,Public Policy,What are the persistent identifiers for Public Policy datasets?
47,Materials Science,Metallurgy,List all SPARQL endpoints available for Metallurgy research.
48,Materials Science,Nanomaterials,How is data provenance handled for Nanomaterials in the GCN?
49,Humanities,Comparative Literature,How is data provenance handled for Comparative Literature in the GCN?
50,Materials Science,Crystallography,Identify cross-domain links between Crystallography and other GCN nodes.
51,Materials Science,Crystallography,Which institutions host the most reusable Crystallography data?
52,Humanities,Historical Linguistics,Find interoperable vocabularies related to Historical Linguistics.
